,Origine,Destination,lat_Origine,lng_Origine,lat_Destination,lng_Destination,Pax_Total_2009,Fret_Total_2009,Pax_Total_2019,Fret_Total_2019
109,AJACCIO,MONTPELLIER,,,,,,,13442.0,0.0
130,BREST,FIGARI,,,,,,,12515.0,0.0
124,BIARRITZ,NICE,,,,,,,11740.0,0.0
86,PARIS,LIMOGES,48.85,2.35,45.86,1.18,34446.0,1.2,10776.0,4.0
43,LILLE,STRASBOURG,50.56,3.09,48.54,7.63,27935.0,0.3,10739.0,0.0
116,BASTIA,MONTPELLIER,,,,,,,10562.0,2737.0
20,BORDEAUX,NANTES,44.83,-0.8,47.16,-1.61,28332.0,528.0,7760.0,6.0
55,LYON,ROUEN,45.73,5.08,49.39,1.18,16362.0,0.2,7196.0,0.0
106,AJACCIO,BEAUVAIS,,,,,,,7010.0,0.0
148,METZ-NANCY,TOULOUSE,,,,,,,6916.0,0.0
128,BORDEAUX,MONTPELLIER,,,,,,,6756.0,7.0
138,CALVI,LYON,,,,,,,6724.0,0.0
129,BORDEAUX,RENNES,,,,,,,6524.0,4.0
156,RENNES,STRASBOURG,,,,,,,6229.0,0.0
137,CALVI,BALE-MULHOUSE,,,,,,,6160.0,0.0
147,MARSEILLE,PAU,,,,,,,5816.0,0.0
139,FIGARI,BALE-MULHOUSE,,,,,,,5776.0,0.0
122,BIARRITZ,BALE-MULHOUSE,,,,,,,5765.0,0.0
155,PARIS,LE-PUY-EN-VELAY,,,,,,,5396.0,0.0
131,BREST,LILLE,,,,,,,5231.0,0.0
7,BALE-MULHOUSE,BORDEAUX,47.59,7.53,44.83,-0.8,16109.0,0.0,,
8,BALE-MULHOUSE,LYON,47.59,7.53,45.73,5.08,36978.0,0.2,,
9,BALE-MULHOUSE,MARSEILLE,47.59,7.53,43.44,5.21,27788.0,0.0,,
10,BALE-MULHOUSE,NICE,47.59,7.53,43.67,7.21,90783.0,0.0,,
14,BEAUVAIS,MARSEILLE,49.45,2.11,43.44,5.21,91633.0,0.0,,
29,CLERMONT-FERRAND,LILLE,45.79,3.16,50.56,3.09,14522.0,2.5,,
30,CLERMONT-FERRAND,LYON,45.79,3.16,45.73,5.08,26503.0,1.7,,
31,CLERMONT-FERRAND,MARSEILLE,45.79,3.16,43.44,5.21,11873.0,0.2,,
32,CLERMONT-FERRAND,NANTES,45.79,3.16,47.16,-1.61,21024.0,4.4,,
33,CLERMONT-FERRAND,NICE,45.79,3.16,43.67,7.21,17918.0,0.1,,
34,CLERMONT-FERRAND,STRASBOURG,45.79,3.16,48.54,7.63,11439.0,0.3,,
38,LE-HAVRE,LYON,49.53,0.09,45.73,5.08,18594.0,0.0,,
49,LYON,MONTPELLIER,45.73,5.08,43.58,3.96,41703.0,0.2,,
73,PARIS,ANNECY,48.85,2.35,45.93,6.11,48485.0,0.0,,
85,PARIS,LANNION,48.85,2.35,48.76,-3.47,33980.0,0.0,,
98,PARIS,STRASBOURG,48.85,2.35,48.54,7.63,354613.0,149.4,,
